flight_leg_id,departure_airport,destination_airport,start_time,end_time,
6E 2217,BLR,DEL,2024-01-23 01:00:00,2024-01-23 03:50:00,
6E 6021,BLR,DEL,2024-01-23 05:45:00,2024-01-23 08:35:00,
6E 6401,BLR,DEL,2024-01-23 13:00:00,2024-01-23 15:45:00,
6E 2225,BLR,DEL,2024-01-23 07:00:00,2024-01-23 09:50:00,
6E 2154,BLR,DEL,2024-01-23 11:50:00,2024-01-23 14:40:00,
6E 6621,BLR,DEL,2024-01-23 15:15:00,2024-01-23 18:10:00,
6E 2374,BLR,DEL,2024-01-23 21:30:00,2024-01-23 00:30:00,
6E 6813,BLR,DEL,2024-01-23 22:30:00,2024-01-23 01:30:00,
6E 2225,BLR,DEL,2024-01-23 07:00:00,2024-01-23 09:50:00,
6E 6039,BLR,DEL,2024-01-23 16:30:00,2024-01-23 19:30:00,
6E 735,BLR,DEL,2024-01-23 19:15:00,2024-01-23 22:10:00,
6E 6406,BLR,DEL,2024-01-23 20:30:00,2024-01-23 23:30:00,
6E 175,BLR,DEL,2024-01-23 10:30:00,2024-01-23 13:25:00,
6E 6284,BOM,BLR,2024-01-23 02:25:00,2024-01-23 04:10:00,
6E 648,BOM,BLR,2024-01-23 20:10:00,2024-01-23 22:00:00,
6E 5388,BOM,BLR,2024-01-23 21:45:00,2024-01-23 23:25:00,
6E 5047,BOM,BLR,2024-01-23 18:00:00,2024-01-23 19:45:00,
6E 5252,BOM,BLR,2024-01-23 19:30:00,2024-01-23 21:15:00,
6E 5294,BOM,BLR,2024-01-23 15:50:00,2024-01-23 17:15:00,
6E 5221,BOM,BLR,2024-01-23 16:30:00,2024-01-23 18:05:00,
6E 5328,BOM,BLR,2024-01-23 13:45:00,2024-01-23 15:30:00,
6E 5217,BOM,BLR,2024-01-23 11:15:00,2024-01-23 12:55:00,
6E 5352,BOM,BLR,2024-01-23 06:15:00,2024-01-23 07:50:00,
6E 5193,BOM,BLR,2024-01-23 08:45:00,2024-01-23 10:25:00,
6E 5296,BOM,BLR,2024-01-23 07:30:00,2024-01-23 09:20:00,
6E 2224,BOM,DEL,2024-01-23 23:15:00,2024-01-23 01:20:00,
6E 651,BOM,DEL,2024-01-23 22:15:00,2024-01-23 00:25:00,
6E 102,BOM,DEL,2024-01-23 21:15:00,2024-01-23 23:20:00,
6E 6049,BOM,DEL,2024-01-23 20:15:00,2024-01-23 22:25:00,
6E 6082,BOM,DEL,2024-01-23 18:00:00,2024-01-23 20:10:00,
6E 6613,BOM,DEL,2024-01-23 19:15:00,2024-01-23 21:30:00,
6E 615,BOM,DEL,2024-01-23 13:15:00,2024-01-23 15:25:00,
6E 6028,BOM,DEL,2024-01-23 12:15:00,2024-01-23 14:25:00,
6E 993,BOM,DEL,2024-01-23 14:15:00,2024-01-23 16:25:00,
6E 2326,BOM,DEL,2024-01-23 15:30:00,2024-01-23 17:35:00,
6E 762,BOM,DEL,2024-01-23 06:05:00,2024-01-23 08:05:00,
6E 6821,BOM,DEL,2024-01-23 11:00:00,2024-01-23 13:10:00,
6E 882,BOM,DEL,2024-01-23 16:55:00,2024-01-23 19:10:00,
6E 301,BOM,DEL,2024-01-23 07:00:00,2024-01-23 09:05:00,
6E 333,BOM,DEL,2024-01-23 07:45:00,2024-01-23 09:55:00,
6E 6131,DEL,BLR,2024-01-23 22:45:00,2024-01-23 01:35:00,
6E 2216,DEL,BLR,2024-01-23 21:20:00,2024-01-23 00:20:00,
6E 6515,DEL,BLR,2024-01-23 20:20:00,2024-01-23 23:10:00,
6E 2375,DEL,BLR,2024-01-23 03:00:00,2024-01-23 05:50:00,
6E 6612,DEL,BLR,2024-01-23 05:45:00,2024-01-23 08:30:00,
6E 2487,DEL,BLR,2024-01-23 18:00:00,2024-01-23 20:45:00,
6E 6622,DEL,BLR,2024-01-23 19:10:00,2024-01-23 21:50:00,
6E 781,DEL,BLR,2024-01-23 16:30:00,2024-01-23 19:30:00,
6E 6403,DEL,BLR,2024-01-23 07:00:00,2024-01-23 09:50:00,
6E 176,DEL,BLR,2024-01-23 14:15:00,2024-01-23 17:10:00,
6E 308,DEL,BLR,2024-01-23 08:15:00,2024-01-23 11:05:00,
6E 2156,DEL,BLR,2024-01-23 15:30:00,2024-01-23 18:15:00,
6E 6608,DEL,BLR,2024-01-23 09:30:00,2024-01-23 12:20:00,
6E 2716,DEL,BOM,2024-01-23 02:00:00,2024-01-23 04:20:00,
6E 6114,DEL,BOM,2024-01-23 22:15:00,2024-01-23 00:25:00,
6E 519,DEL,BOM,2024-01-23 23:05:00,2024-01-23 01:25:00,
6E 449,DEL,BOM,2024-01-23 05:30:00,2024-01-23 07:35:00,
6E 395,DEL,BOM,2024-01-23 21:00:00,2024-01-23 23:15:00,
6E 2327,DEL,BOM,2024-01-23 18:15:00,2024-01-23 20:25:00,
6E 6016,DEL,BOM,2024-01-23 20:20:00,2024-01-23 22:20:00,
6E 6318,DEL,BOM,2024-01-23 16:15:00,2024-01-23 18:30:00,
6E 2125,DEL,BOM,2024-01-23 19:15:00,2024-01-23 21:30:00,
6E 6814,DEL,BOM,2024-01-23 07:15:00,2024-01-23 09:25:00,
6E 6814,DEL,BOM,2024-01-23 07:15:00,2024-01-23 09:25:00,
6E 6676,DEL,BOM,2024-01-23 13:55:00,2024-01-23 16:10:00,
6E 6022,DEL,BOM,2024-01-23 15:10:00,2024-01-23 17:20:00,
6E 6218,DEL,BOM,2024-01-23 06:30:00,2024-01-23 08:40:00,
6E 864,DEL,BOM,2024-01-23 17:15:00,2024-01-23 19:25:00,
6E 6328,DEL,BOM,2024-01-23 10:00:00,2024-01-23 12:15:00,
6E 675,DEL,BOM,2024-01-23 08:00:00,2024-01-23 10:10:00,
6E 6107,DEL,BOM,2024-01-23 08:45:00,2024-01-23 10:50:00,
6E 5209,BLR,BOM,2024-01-23 06:15:00,2024-01-23 07:55:00,
6E 5295,BLR,BOM,2024-01-23 04:50:00,2024-01-23 06:25:00,
6E 5011,BLR,BOM,2024-01-23 11:15:00,2024-01-23 13:05:00,
6E 6204,BLR,BOM,2024-01-23 07:00:00,2024-01-23 08:50:00,
6E 5051,BLR,BOM,2024-01-23 10:00:00,2024-01-23 12:15:00,
6E 5218,BLR,BOM,2024-01-23 14:00:00,2024-01-23 15:40:00,
6E 5216,BLR,BOM,2024-01-23 08:30:00,2024-01-23 10:15:00,
6E 5351,BLR,BOM,2024-01-23 15:30:00,2024-01-23 17:05:00,
6E 6283,BLR,BOM,2024-01-23 22:45:00,2024-01-23 00:45:00,
6E 5251,BLR,BOM,2024-01-23 17:00:00,2024-01-23 18:45:00,
6E 5376,BLR,BOM,2024-01-23 19:15:00,2024-01-23 21:05:00,
6E 5255,BLR,BOM,2024-01-23 18:00:00,2024-01-23 19:40:00,
6E 5094,BLR,BOM,2024-01-23 21:00:00,2024-01-23 23:05:00,
6E 2217,BLR,DEL,2024-01-24 01:00:00,2024-01-24 03:50:00,
6E 6021,BLR,DEL,2024-01-24 05:45:00,2024-01-24 08:35:00,
6E 6401,BLR,DEL,2024-01-24 13:00:00,2024-01-24 15:45:00,
6E 2225,BLR,DEL,2024-01-24 07:00:00,2024-01-24 09:50:00,
6E 2154,BLR,DEL,2024-01-24 11:50:00,2024-01-24 14:40:00,
6E 6621,BLR,DEL,2024-01-24 15:15:00,2024-01-24 18:10:00,
6E 2374,BLR,DEL,2024-01-24 21:30:00,2024-01-24 00:30:00,
6E 6813,BLR,DEL,2024-01-24 22:30:00,2024-01-24 01:30:00,
6E 2225,BLR,DEL,2024-01-24 07:00:00,2024-01-24 09:50:00,
6E 6039,BLR,DEL,2024-01-24 16:30:00,2024-01-24 19:30:00,
6E 735,BLR,DEL,2024-01-24 19:15:00,2024-01-24 22:10:00,
6E 6406,BLR,DEL,2024-01-24 20:30:00,2024-01-24 23:30:00,
6E 175,BLR,DEL,2024-01-24 10:30:00,2024-01-24 13:25:00,
6E 6284,BOM,BLR,2024-01-24 02:25:00,2024-01-24 04:10:00,
6E 648,BOM,BLR,2024-01-24 20:10:00,2024-01-24 22:00:00,
6E 5388,BOM,BLR,2024-01-24 21:45:00,2024-01-24 23:25:00,
6E 5047,BOM,BLR,2024-01-24 18:00:00,2024-01-24 19:45:00,
6E 5252,BOM,BLR,2024-01-24 19:30:00,2024-01-24 21:15:00,
6E 5294,BOM,BLR,2024-01-24 15:50:00,2024-01-24 17:15:00,
6E 5221,BOM,BLR,2024-01-24 16:30:00,2024-01-24 18:05:00,
6E 5328,BOM,BLR,2024-01-24 13:45:00,2024-01-24 15:30:00,
6E 5217,BOM,BLR,2024-01-24 11:15:00,2024-01-24 12:55:00,
6E 5352,BOM,BLR,2024-01-24 06:15:00,2024-01-24 07:50:00,
6E 5193,BOM,BLR,2024-01-24 08:45:00,2024-01-24 10:25:00,
6E 5296,BOM,BLR,2024-01-24 07:30:00,2024-01-24 09:20:00,
6E 2224,BOM,DEL,2024-01-24 23:15:00,2024-01-24 01:20:00,
6E 651,BOM,DEL,2024-01-24 22:15:00,2024-01-24 00:25:00,
6E 102,BOM,DEL,2024-01-24 21:15:00,2024-01-24 23:20:00,
