flight_leg_id,departure_airport,destination_airport,start_time,end_time
1,Mumbai,Chennai,16,18
2,Bangalore,Delhi,2,4
3,Bangalore,Mumbai,13,14
4,Bangalore,Calcutta,18,21
5,Mumbai,Chennai,3,5
6,Calcutta,Bangalore,12,15
7,Chennai,Bangalore,11,12
8,Chennai,Delhi,7,10
9,Delhi,Calcutta,13,15
10,Delhi,Mumbai,15,17
11,Calcutta,Mumbai,11,14
12,Mumbai,Chennai,19,21
13,Delhi,Calcutta,8,10
14,Calcutta,Bangalore,2,5
15,Calcutta,Chennai,2,4
16,Calcutta,Mumbai,15,18
17,Mumbai,Calcutta,18,21
18,Mumbai,Calcutta,13,16
19,Bangalore,Delhi,12,14
20,Calcutta,Delhi,1,3
21,Mumbai,Delhi,6,8
22,Delhi,Bangalore,20,22
23,Bangalore,Delhi,11,13
24,Bangalore,Chennai,6,7
25,Delhi,Calcutta,19,21
26,Bangalore,Chennai,3,4
27,Bangalore,Calcutta,20,23
28,Mumbai,Calcutta,1,4
29,Bangalore,Chennai,16,17
30,Mumbai,Chennai,8,10
31,Mumbai,Chennai,20,22
32,Mumbai,Delhi,11,13
33,Delhi,Calcutta,11,13
34,Mumbai,Calcutta,3,6
35,Mumbai,Delhi,2,4
36,Chennai,Delhi,1,4
37,Bangalore,Calcutta,16,19
38,Chennai,Calcutta,1,3
39,Delhi,Chennai,4,7
40,Chennai,Mumbai,19,21
41,Mumbai,Calcutta,7,10
42,Bangalore,Mumbai,19,20
43,Delhi,Chennai,3,6
44,Mumbai,Bangalore,11,12
45,Calcutta,Mumbai,2,5
46,Bangalore,Chennai,11,12
47,Chennai,Delhi,7,10
48,Delhi,Chennai,19,22
49,Mumbai,Delhi,19,21
50,Delhi,Bangalore,9,11
51,Calcutta,Mumbai,15,18
52,Chennai,Delhi,17,20
53,Delhi,Calcutta,12,14
54,Bangalore,Calcutta,2,5
55,Delhi,Chennai,18,21
56,Chennai,Calcutta,7,9
57,Calcutta,Delhi,14,16
58,Calcutta,Mumbai,19,22
59,Mumbai,Calcutta,18,21
60,Mumbai,Bangalore,18,19
61,Mumbai,Delhi,2,4
62,Calcutta,Delhi,3,5
63,Calcutta,Bangalore,8,11
64,Chennai,Delhi,7,10
65,Delhi,Bangalore,13,15
66,Chennai,Calcutta,18,20
67,Chennai,Mumbai,13,15
68,Chennai,Bangalore,16,17
69,Mumbai,Chennai,16,18
70,Delhi,Chennai,15,18
71,Delhi,Chennai,10,13
72,Delhi,Calcutta,2,4
73,Mumbai,Delhi,16,18
74,Chennai,Calcutta,4,6
75,Delhi,Mumbai,6,8
76,Bangalore,Chennai,10,11
77,Bangalore,Calcutta,16,19
78,Chennai,Mumbai,18,20
79,Delhi,Chennai,20,23
80,Calcutta,Bangalore,10,13
81,Bangalore,Delhi,6,8
82,Mumbai,Chennai,5,7
83,Bangalore,Delhi,15,17
84,Chennai,Calcutta,12,14
85,Delhi,Bangalore,15,17
86,Mumbai,Bangalore,8,9
87,Mumbai,Delhi,20,22
88,Mumbai,Chennai,2,4
89,Mumbai,Calcutta,13,16
90,Calcutta,Bangalore,19,22
91,Delhi,Bangalore,3,5
92,Bangalore,Delhi,1,3
93,Bangalore,Mumbai,3,4
94,Bangalore,Calcutta,3,6
95,Bangalore,Delhi,16,18
96,Chennai,Mumbai,5,7
97,Calcutta,Mumbai,13,16
98,Delhi,Calcutta,2,4
99,Mumbai,Bangalore,13,14
100,Mumbai,Calcutta,11,14
101,Delhi,Bangalore,6,8
102,Delhi,Calcutta,2,4
103,Calcutta,Chennai,10,12
104,Calcutta,Mumbai,11,14
105,Delhi,Mumbai,20,22
106,Delhi,Calcutta,7,9
107,Mumbai,Chennai,6,8
108,Delhi,Bangalore,9,11
109,Delhi,Calcutta,13,15
110,Mumbai,Delhi,19,21
111,Mumbai,Calcutta,18,21
112,Calcutta,Delhi,3,5
113,Bangalore,Chennai,20,21
114,Chennai,Bangalore,20,21
115,Calcutta,Delhi,10,12
116,Chennai,Calcutta,11,13
117,Delhi,Mumbai,17,19
118,Bangalore,Mumbai,1,2
119,Mumbai,Chennai,8,10
120,Mumbai,Calcutta,13,16
121,Calcutta,Bangalore,17,20
122,Delhi,Calcutta,5,7
123,Bangalore,Chennai,14,15
124,Mumbai,Bangalore,10,11
125,Calcutta,Delhi,8,10
126,Chennai,Mumbai,8,10
127,Chennai,Calcutta,13,15
128,Chennai,Delhi,10,13
129,Delhi,Calcutta,7,9
130,Bangalore,Chennai,1,2
131,Mumbai,Chennai,16,18
132,Chennai,Delhi,12,15
133,Bangalore,Calcutta,5,8
134,Calcutta,Bangalore,1,4
135,Mumbai,Calcutta,5,8
136,Calcutta,Delhi,14,16
137,Calcutta,Mumbai,14,17
138,Calcutta,Chennai,13,15
139,Calcutta,Mumbai,18,21
140,Mumbai,Calcutta,13,16
141,Mumbai,Bangalore,8,9
142,Delhi,Bangalore,2,4
143,Calcutta,Mumbai,12,15
144,Delhi,Calcutta,20,22
145,Chennai,Delhi,19,22
146,Chennai,Bangalore,16,17
147,Delhi,Bangalore,7,9
148,Mumbai,Calcutta,20,23
149,Mumbai,Bangalore,7,8
150,Mumbai,Bangalore,1,2
151,Bangalore,Delhi,1,3
152,Calcutta,Chennai,2,4
153,Bangalore,Chennai,14,15
154,Bangalore,Chennai,5,6
155,Mumbai,Calcutta,2,5
156,Delhi,Calcutta,6,8
157,Bangalore,Mumbai,19,20
158,Chennai,Delhi,3,6
159,Bangalore,Delhi,15,17
160,Calcutta,Chennai,19,21
161,Bangalore,Delhi,11,13
162,Chennai,Calcutta,13,15
163,Chennai,Mumbai,19,21
164,Delhi,Mumbai,14,16
165,Chennai,Delhi,17,20
166,Chennai,Calcutta,11,13
167,Calcutta,Chennai,5,7
168,Calcutta,Chennai,18,20
169,Bangalore,Calcutta,11,14
170,Chennai,Delhi,4,7
171,Calcutta,Mumbai,4,7
172,Bangalore,Mumbai,13,14
173,Bangalore,Delhi,16,18
174,Chennai,Calcutta,19,21
175,Calcutta,Bangalore,1,4
176,Bangalore,Delhi,11,13
177,Chennai,Mumbai,4,6
178,Bangalore,Chennai,15,16
179,Mumbai,Bangalore,5,6
180,Chennai,Bangalore,15,16
181,Delhi,Bangalore,13,15
182,Delhi,Calcutta,4,6
183,Delhi,Bangalore,7,9
184,Chennai,Delhi,14,17
185,Calcutta,Bangalore,8,11
186,Delhi,Calcutta,14,16
187,Chennai,Calcutta,17,19
188,Bangalore,Delhi,2,4
189,Chennai,Mumbai,17,19
190,Delhi,Calcutta,12,14
191,Chennai,Delhi,3,6
192,Calcutta,Chennai,2,4
193,Mumbai,Chennai,4,6
194,Bangalore,Delhi,11,13
195,Mumbai,Bangalore,11,12
196,Mumbai,Bangalore,10,11
197,Bangalore,Delhi,17,19
198,Delhi,Calcutta,12,14
199,Bangalore,Chennai,4,5
200,Bangalore,Mumbai,9,10
201,Mumbai,Delhi,15,17
202,Bangalore,Chennai,14,15
203,Mumbai,Bangalore,4,5
204,Delhi,Chennai,2,5
205,Calcutta,Mumbai,20,23
206,Bangalore,Chennai,11,12
207,Bangalore,Delhi,20,22
208,Mumbai,Delhi,18,20
209,Calcutta,Mumbai,12,15
210,Mumbai,Chennai,20,22
211,Chennai,Mumbai,9,11
212,Calcutta,Chennai,6,8
213,Delhi,Bangalore,17,19
214,Mumbai,Bangalore,15,16
215,Delhi,Chennai,2,5
216,Bangalore,Mumbai,4,5
217,Chennai,Mumbai,10,12
218,Bangalore,Chennai,17,18
219,Calcutta,Bangalore,3,6
220,Bangalore,Mumbai,17,18
221,Chennai,Delhi,10,13
222,Mumbai,Delhi,2,4
223,Mumbai,Delhi,12,14
224,Bangalore,Chennai,6,7
225,Chennai,Bangalore,1,2
226,Mumbai,Chennai,16,18
227,Delhi,Chennai,5,8
228,Chennai,Calcutta,13,15
229,Mumbai,Chennai,9,11
230,Calcutta,Chennai,19,21
231,Mumbai,Delhi,15,17
232,Bangalore,Delhi,7,9
233,Bangalore,Chennai,5,6
234,Bangalore,Calcutta,11,14
235,Delhi,Chennai,19,22
236,Bangalore,Chennai,11,12
237,Mumbai,Calcutta,19,22
238,Delhi,Mumbai,20,22
239,Delhi,Mumbai,2,4
240,Delhi,Mumbai,20,22
241,Delhi,Mumbai,8,10
242,Bangalore,Mumbai,6,7
243,Calcutta,Bangalore,9,12
244,Calcutta,Bangalore,8,11
245,Mumbai,Bangalore,10,11
246,Bangalore,Mumbai,11,12
247,Chennai,Calcutta,18,20
248,Calcutta,Chennai,20,22
249,Delhi,Chennai,13,16
250,Bangalore,Delhi,8,10
251,Bangalore,Mumbai,14,15
252,Delhi,Calcutta,13,15
253,Chennai,Calcutta,16,18
254,Bangalore,Delhi,14,16
255,Chennai,Bangalore,11,12
256,Mumbai,Chennai,20,22
257,Mumbai,Bangalore,8,9
258,Bangalore,Delhi,15,17
259,Calcutta,Mumbai,17,20
260,Bangalore,Mumbai,3,4
261,Bangalore,Mumbai,19,20
262,Chennai,Delhi,12,15
263,Delhi,Chennai,7,10
264,Calcutta,Chennai,20,22
265,Mumbai,Calcutta,2,5
266,Delhi,Mumbai,2,4
267,Calcutta,Chennai,14,16
268,Bangalore,Chennai,8,9
269,Delhi,Bangalore,7,9
270,Chennai,Bangalore,9,10
271,Delhi,Chennai,14,17
272,Mumbai,Chennai,17,19
273,Mumbai,Calcutta,13,16
274,Delhi,Mumbai,12,14
275,Delhi,Mumbai,9,11
276,Bangalore,Chennai,4,5
277,Calcutta,Chennai,7,9
278,Chennai,Delhi,8,11
279,Calcutta,Chennai,10,12
280,Calcutta,Mumbai,7,10
281,Calcutta,Chennai,3,5
282,Bangalore,Chennai,11,12
283,Delhi,Chennai,5,8
284,Mumbai,Delhi,10,12
285,Bangalore,Mumbai,3,4
286,Calcutta,Mumbai,3,6
