flight_leg_id,departure_airport,destination_airport,start_time,end_time
1,BLR,BOM,2024-02-12 04:50:00,2024-02-12 06:25:00
2,BLR,BOM,2024-02-12 12:30:00,2024-02-12 14:35:00
3,BLR,BOM,2024-02-12 10:00:00,2024-02-12 12:15:00
4,BLR,BOM,2024-02-12 07:00:00,2024-02-12 08:50:00
5,BLR,BOM,2024-02-12 11:15:00,2024-02-12 12:55:00
6,BLR,BOM,2024-02-12 14:00:00,2024-02-12 15:40:00
7,BLR,BOM,2024-02-12 06:15:00,2024-02-12 07:55:00
8,BLR,BOM,2024-02-12 08:30:00,2024-02-12 10:15:00
9,BLR,BOM,2024-02-12 15:30:00,2024-02-12 17:05:00
10,BLR,BOM,2024-02-12 17:00:00,2024-02-12 18:45:00
11,BLR,BOM,2024-02-12 18:00:00,2024-02-12 19:40:00
12,BLR,BOM,2024-02-12 21:40:00,2024-02-12 23:35:00
13,BLR,BOM,2024-02-12 21:00:00,2024-02-12 23:05:00
14,BLR,BOM,2024-02-12 19:15:00,2024-02-12 21:05:00
15,BLR,DEL,2024-02-12 16:30:00,2024-02-12 19:30:00
16,BLR,DEL,2024-02-12 10:30:00,2024-02-12 13:25:00
17,BLR,DEL,2024-02-12 11:50:00,2024-02-12 14:40:00
18,BLR,DEL,2024-02-12 13:00:00,2024-02-12 15:45:00
19,BLR,DEL,2024-02-12 15:15:00,2024-02-12 18:10:00
20,BLR,DEL,2024-02-12 20:30:00,2024-02-12 23:30:00
21,BLR,DEL,2024-02-12 08:00:00,2024-02-12 11:00:00
22,BLR,DEL,2024-02-12 09:15:00,2024-02-12 12:05:00
23,BLR,DEL,2024-02-12 18:00:00,2024-02-12 21:10:00
24,BLR,DEL,2024-02-12 19:15:00,2024-02-12 22:10:00
25,BLR,DEL,2024-02-12 01:00:00,2024-02-12 03:40:00
26,BLR,DEL,2024-02-12 05:45:00,2024-02-12 08:35:00
27,BLR,DEL,2024-02-12 07:00:00,2024-02-12 09:50:00
28,BOM,BLR,2024-02-12 00:35:00,2024-02-12 02:15:00
29,BOM,BLR,2024-02-12 02:25:00,2024-02-12 04:10:00
30,BOM,BLR,2024-02-12 20:10:00,2024-02-12 22:00:00
31,BOM,BLR,2024-02-12 13:45:00,2024-02-12 15:30:00
32,BOM,BLR,2024-02-12 18:00:00,2024-02-12 19:45:00
33,BOM,BLR,2024-02-12 19:30:00,2024-02-12 21:15:00
34,BOM,BLR,2024-02-12 21:45:00,2024-02-12 23:25:00
35,BOM,BLR,2024-02-12 12:40:00,2024-02-12 14:20:00
36,BOM,BLR,2024-02-12 15:20:00,2024-02-12 16:55:00
37,BOM,BLR,2024-02-12 16:30:00,2024-02-12 18:05:00
38,BOM,BLR,2024-02-12 11:15:00,2024-02-12 12:55:00
39,BOM,BLR,2024-02-12 10:00:00,2024-02-12 11:35:00
40,BOM,BLR,2024-02-12 06:15:00,2024-02-12 07:50:00
41,BOM,BLR,2024-02-12 08:45:00,2024-02-12 10:25:00
42,BOM,BLR,2024-02-12 07:30:00,2024-02-12 09:20:00
43,BOM,DEL,2024-02-12 19:15:00,2024-02-12 21:30:00
44,BOM,DEL,2024-02-12 21:15:00,2024-02-12 23:20:00
45,BOM,DEL,2024-02-12 01:20:00,2024-02-12 03:20:00
46,BOM,DEL,2024-02-12 02:30:00,2024-02-12 04:35:00
47,BOM,DEL,2024-02-12 20:15:00,2024-02-12 22:25:00
48,BOM,DEL,2024-02-12 16:55:00,2024-02-12 19:10:00
49,BOM,DEL,2024-02-12 13:15:00,2024-02-12 15:25:00
50,BOM,DEL,2024-02-12 18:00:00,2024-02-12 20:10:00
51,BOM,DEL,2024-02-12 11:00:00,2024-02-12 13:10:00
52,BOM,DEL,2024-02-12 15:30:00,2024-02-12 17:35:00
53,BOM,DEL,2024-02-12 05:00:00,2024-02-12 07:10:00
54,BOM,DEL,2024-02-12 06:05:00,2024-02-12 08:05:00
55,BOM,DEL,2024-02-12 14:15:00,2024-02-12 16:25:00
56,BOM,DEL,2024-02-12 07:45:00,2024-02-12 09:55:00
57,BOM,DEL,2024-02-12 12:15:00,2024-02-12 14:25:00
58,BOM,DEL,2024-02-12 07:00:00,2024-02-12 09:05:00
59,BOM,DEL,2024-02-12 09:30:00,2024-02-12 11:40:00
60,BOM,DEL,2024-02-12 08:30:00,2024-02-12 10:35:00
61,DEL,BLR,2024-02-12 14:15:00,2024-02-12 17:10:00
62,DEL,BLR,2024-02-12 15:30:00,2024-02-12 18:15:00
63,DEL,BLR,2024-02-12 16:30:00,2024-02-12 19:30:00
64,DEL,BLR,2024-02-12 19:10:00,2024-02-12 21:50:00
65,DEL,BLR,2024-02-12 10:30:00,2024-02-12 13:20:00
66,DEL,BLR,2024-02-12 12:45:00,2024-02-12 15:40:00
67,DEL,BLR,2024-02-12 18:00:00,2024-02-12 20:45:00
68,DEL,BLR,2024-02-12 20:20:00,2024-02-12 23:10:00
69,DEL,BLR,2024-02-12 03:00:00,2024-02-12 05:50:00
70,DEL,BLR,2024-02-12 09:30:00,2024-02-12 12:20:00
71,DEL,BLR,2024-02-12 07:00:00,2024-02-12 09:50:00
72,DEL,BLR,2024-02-12 08:15:00,2024-02-12 11:05:00
73,DEL,BLR,2024-02-12 05:45:00,2024-02-12 08:30:00
74,DEL,BOM,2024-02-12 05:30:00,2024-02-12 07:35:00
75,DEL,BOM,2024-02-12 20:00:00,2024-02-12 22:20:00
