[3, 28, 29]
[4, 5, 10]
[4, 5, 29]
[4, 9, 6]
[4, 9, 11]
[4, 9, 20]
[5, 10, 17]
[5, 10, 18]
[8, 1, 17]
[8, 1, 18]
[12, 2, 7]
[12, 2, 14]
[12, 8, 1]
[12, 8, 27]
[12, 10, 17]
[12, 10, 18]
[12, 30, 6]
[12, 30, 11]
[12, 30, 20]
[13, 5, 10]
[13, 5, 29]
[13, 9, 6]
[13, 9, 11]
[13, 9, 20]
[15, 2, 7]
[15, 2, 14]
[15, 8, 1]
[15, 8, 27]
[15, 10, 17]
[15, 10, 18]
[15, 30, 6]
[15, 30, 11]
[15, 30, 20]
[16, 5, 10]
[16, 5, 29]
[16, 9, 6]
[16, 9, 11]
[16, 9, 20]
[19, 2, 7]
[19, 2, 14]
[19, 8, 1]
[19, 8, 27]
[19, 10, 17]
[19, 10, 18]
[19, 30, 6]
[19, 30, 11]
[19, 30, 20]
[21, 28, 29]
[22, 5, 10]
[22, 5, 29]
[22, 9, 6]
[22, 9, 11]
[22, 9, 20]
