flight_leg_id,departure_airport,destination_airport,start_time,end_time
1,Bangalore,Chennai,2023-01-01 20:00:00,2023-01-01 21:00:00
2,Bangalore,Chennai,2023-01-01 04:00:00,2023-01-01 05:00:00
3,Bangalore,Chennai,2023-01-01 12:00:00,2023-01-01 13:00:00
4,Bangalore,Chennai,2023-01-01 11:00:00,2023-01-01 12:00:00
5,Bangalore,Chennai,2023-01-01 16:00:00,2023-01-01 17:00:00
6,Chennai,Bangalore,2023-01-01 09:00:00,2023-01-01 10:00:00
7,Bangalore,Chennai,2023-01-01 03:00:00,2023-01-01 04:00:00
8,Chennai,Bangalore,2023-01-01 20:00:00,2023-01-01 21:00:00
9,Bangalore,Chennai,2023-01-01 07:00:00,2023-01-01 08:00:00
10,Bangalore,Chennai,2023-01-01 14:00:00,2023-01-01 15:00:00
11,Chennai,Bangalore,2023-01-01 19:00:00,2023-01-01 20:00:00
12,Bangalore,Chennai,2023-01-01 19:00:00,2023-01-01 20:00:00
13,Bangalore,Chennai,2023-01-01 09:00:00,2023-01-01 10:00:00
14,Chennai,Bangalore,2023-01-01 12:00:00,2023-01-01 13:00:00
15,Bangalore,Chennai,2023-01-01 12:00:00,2023-01-01 13:00:00
16,Bangalore,Chennai,2023-01-01 07:00:00,2023-01-01 08:00:00
17,Chennai,Bangalore,2023-01-01 02:00:00,2023-01-01 03:00:00
18,Bangalore,Chennai,2023-01-01 08:00:00,2023-01-01 09:00:00
19,Bangalore,Chennai,2023-01-01 14:00:00,2023-01-01 15:00:00
20,Chennai,Bangalore,2023-01-01 20:00:00,2023-01-01 21:00:00
21,Bangalore,Chennai,2023-01-01 05:00:00,2023-01-01 06:00:00
22,Chennai,Bangalore,2023-01-01 19:00:00,2023-01-01 20:00:00
23,Chennai,Bangalore,2023-01-01 06:00:00,2023-01-01 07:00:00
24,Chennai,Bangalore,2023-01-01 04:00:00,2023-01-01 05:00:00
25,Chennai,Bangalore,2023-01-01 14:00:00,2023-01-01 15:00:00
26,Bangalore,Chennai,2023-01-01 05:00:00,2023-01-01 06:00:00
27,Chennai,Bangalore,2023-01-01 08:00:00,2023-01-01 09:00:00
28,Chennai,Bangalore,2023-01-01 11:00:00,2023-01-01 12:00:00
29,Bangalore,Chennai,2023-01-01 18:00:00,2023-01-01 19:00:00
30,Bangalore,Chennai,2023-01-01 18:00:00,2023-01-01 19:00:00
31,Bangalore,Chennai,2023-01-01 12:00:00,2023-01-01 13:00:00
32,Bangalore,Chennai,2023-01-01 09:00:00,2023-01-01 10:00:00
33,Chennai,Bangalore,2023-01-01 11:00:00,2023-01-01 12:00:00
34,Bangalore,Chennai,2023-01-01 18:00:00,2023-01-01 19:00:00
35,Chennai,Bangalore,2023-01-01 13:00:00,2023-01-01 14:00:00
36,Chennai,Bangalore,2023-01-01 08:00:00,2023-01-01 09:00:00
37,Bangalore,Chennai,2023-01-01 11:00:00,2023-01-01 12:00:00
38,Bangalore,Chennai,2023-01-01 14:00:00,2023-01-01 15:00:00
