flight_leg_id,departure_airport,destination_airport,start_time,end_time
1,Delhi,Mumbai,17,19
2,Chennai,Calcutta,17,19
3,Delhi,Calcutta,12,14
4,Mumbai,Calcutta,1,4
5,Chennai,Delhi,13,16
6,Bangalore,Calcutta,10,13
7,Mumbai,Calcutta,12,15
8,Calcutta,Mumbai,14,17
9,Bangalore,Chennai,9,10
10,Bangalore,Mumbai,15,16
11,Bangalore,Chennai,15,16
12,Chennai,Calcutta,15,17
13,Mumbai,Delhi,17,19
14,Chennai,Bangalore,12,13
15,Calcutta,Chennai,16,18
16,Delhi,Bangalore,3,5
17,Chennai,Mumbai,16,18
18,Chennai,Calcutta,15,17
19,Mumbai,Bangalore,17,18
20,Bangalore,Chennai,10,11
21,Chennai,Calcutta,13,15
22,Chennai,Bangalore,4,5
23,Chennai,Calcutta,9,11
24,Bangalore,Delhi,12,14
25,Delhi,Chennai,5,8
26,Mumbai,Delhi,2,4
27,Calcutta,Mumbai,12,15
28,Mumbai,Calcutta,16,19
29,Delhi,Mumbai,9,11
30,Chennai,Delhi,12,15
31,Calcutta,Delhi,3,5
32,Mumbai,Bangalore,5,6
33,Chennai,Delhi,9,12
34,Mumbai,Bangalore,14,15
35,Calcutta,Bangalore,7,10
36,Chennai,Delhi,17,20
37,Chennai,Bangalore,16,17
38,Bangalore,Calcutta,15,18
39,Bangalore,Chennai,19,20
40,Mumbai,Chennai,1,3
41,Chennai,Calcutta,17,19
42,Mumbai,Delhi,12,14
43,Delhi,Bangalore,13,15
44,Chennai,Mumbai,10,12
45,Chennai,Delhi,11,14
46,Chennai,Delhi,19,22
47,Chennai,Bangalore,16,17
48,Delhi,Bangalore,3,5
49,Chennai,Delhi,11,14
50,Bangalore,Calcutta,2,5
51,Calcutta,Bangalore,15,18
52,Chennai,Calcutta,7,9
53,Mumbai,Calcutta,19,22
54,Chennai,Calcutta,3,5
55,Mumbai,Bangalore,10,11
56,Bangalore,Delhi,1,3
57,Chennai,Delhi,3,6
58,Chennai,Calcutta,1,3
59,Mumbai,Chennai,10,12
60,Mumbai,Bangalore,9,10
61,Delhi,Chennai,19,22
62,Chennai,Mumbai,13,15
63,Bangalore,Calcutta,12,15
64,Delhi,Calcutta,2,4
65,Bangalore,Chennai,4,5
66,Calcutta,Chennai,6,8
67,Delhi,Calcutta,18,20
68,Chennai,Bangalore,16,17
69,Bangalore,Delhi,2,4
70,Mumbai,Delhi,18,20
