flight_leg_id,departure_airport,destination_airport,start_time,end_time
6E 2217,BLR,DEL,23-01-2024 01:00:00,23-01-2024 03:50:00
6E 6021,BLR,DEL,23-01-2024 05:45:00,23-01-2024 08:35:00
6E 6401,BLR,DEL,23-01-2024 13:00:00,23-01-2024 15:45:00
6E 2225,BLR,DEL,23-01-2024 07:00:00,23-01-2024 09:50:00
6E 2154,BLR,DEL,23-01-2024 11:50:00,23-01-2024 14:40:00
6E 6621,BLR,DEL,23-01-2024 15:15:00,23-01-2024 18:10:00
6E 2374,BLR,DEL,23-01-2024 21:30:00,23-01-2024 00:30:00
6E 6813,BLR,DEL,23-01-2024 22:30:00,23-01-2024 01:30:00
6E 2225,BLR,DEL,23-01-2024 07:00:00,23-01-2024 09:50:00
6E 6039,BLR,DEL,23-01-2024 16:30:00,23-01-2024 19:30:00
6E 735,BLR,DEL,23-01-2024 19:15:00,23-01-2024 22:10:00
6E 6406,BLR,DEL,23-01-2024 20:30:00,23-01-2024 23:30:00
6E 175,BLR,DEL,23-01-2024 10:30:00,23-01-2024 13:25:00
6E 6284,BOM,BLR,23-01-2024 02:25:00,23-01-2024 04:10:00
6E 648,BOM,BLR,23-01-2024 20:10:00,23-01-2024 22:00:00
6E 5388,BOM,BLR,23-01-2024 21:45:00,23-01-2024 23:25:00
6E 5047,BOM,BLR,23-01-2024 18:00:00,23-01-2024 19:45:00
6E 5252,BOM,BLR,23-01-2024 19:30:00,23-01-2024 21:15:00
6E 5294,BOM,BLR,23-01-2024 15:50:00,23-01-2024 17:15:00
6E 5221,BOM,BLR,23-01-2024 16:30:00,23-01-2024 18:05:00
6E 5328,BOM,BLR,23-01-2024 13:45:00,23-01-2024 15:30:00
6E 5217,BOM,BLR,23-01-2024 11:15:00,23-01-2024 12:55:00
6E 5352,BOM,BLR,23-01-2024 06:15:00,23-01-2024 07:50:00
6E 5193,BOM,BLR,23-01-2024 08:45:00,23-01-2024 10:25:00
6E 5296,BOM,BLR,23-01-2024 07:30:00,23-01-2024 09:20:00
6E 2224,BOM,DEL,23-01-2024 23:15:00,23-01-2024 01:20:00
6E 651,BOM,DEL,23-01-2024 22:15:00,23-01-2024 00:25:00
6E 102,BOM,DEL,23-01-2024 21:15:00,23-01-2024 23:20:00
6E 6049,BOM,DEL,23-01-2024 20:15:00,23-01-2024 22:25:00
6E 6082,BOM,DEL,23-01-2024 18:00:00,23-01-2024 20:10:00
6E 6613,BOM,DEL,23-01-2024 19:15:00,23-01-2024 21:30:00
6E 615,BOM,DEL,23-01-2024 13:15:00,23-01-2024 15:25:00
6E 6028,BOM,DEL,23-01-2024 12:15:00,23-01-2024 14:25:00
6E 993,BOM,DEL,23-01-2024 14:15:00,23-01-2024 16:25:00
6E 2326,BOM,DEL,23-01-2024 15:30:00,23-01-2024 17:35:00
